creator,source_identifier
Johannes Schäfer,"Source(identifier='F0001', signature='F01-JM001-AM002-F0001')"
"Dr Weidemann, Lübeck, Nachlass","Source(identifier='F0010', signature='F01-JM002-AM003-F0010')"
Heinz Brunn,"Source(identifier='F0013', signature='F01-JM002-AM003-F0013')"
Kurt Weinhold,"Source(identifier='F0025', signature='F01-JM002-AM003-F0025')"
Verlag Haus der Stille,"Source(identifier='F0026', signature='F01-JM002-AM005-F0026')"
Verlag Haus der Stille,"Source(identifier='F0027', signature='F01-JM002-AM005-F0027')"
Verlag Haus der Stille,"Source(identifier='F0029', signature='F01-JM002-AM005-F0029')"
Eberhard Kuhnhenn,"Source(identifier='F0030', signature='F01-JM002-AM005-F0030')"
Hermann Schiewe,"Source(identifier='F0031', signature='F01-JM002-AM005-F0031')"
Hermann Schiewe,"Source(identifier='F0032', signature='F01-JM002-AM005-F0032')"
Hermann Schiewe,"Source(identifier='F0033', signature='F01-JM002-AM005-F0033')"
Hermann Schiewe,"Source(identifier='F0034', signature='F01-JM002-AM005-F0034')"
Hermann Schiewe,"Source(identifier='F0035', signature='F01-JM002-AM005-F0035')"
Hermann Schiewe,"Source(identifier='F0036', signature='F01-JM002-AM005-F0036')"
Hermann Schiewe,"Source(identifier='F0037', signature='F01-JM002-AM005-F0037')"
Hermann Schiewe,"Source(identifier='F0038', signature='F01-JM002-AM005-F0038')"
Hermann Schiewe,"Source(identifier='F0039', signature='F01-JM002-AM005-F0039')"
Hermann Schiewe,"Source(identifier='F0040', signature='F01-JM002-AM005-F0040')"
Hermann Schiewe,"Source(identifier='F0041', signature='F01-JM002-AM005-F0041')"
Hermann Schiewe,"Source(identifier='F0042', signature='F01-JM002-AM005-F0042')"
Hermann Schiewe,"Source(identifier='F0043', signature='F01-JM002-AM005-F0043')"
Hermann Schiewe,"Source(identifier='F0044', signature='F01-JM002-AM005-F0044')"
Hermann Schiewe,"Source(identifier='F0045', signature='F01-JM002-AM005-F0045')"
Hermann Schiewe,"Source(identifier='F0046', signature='F01-JM002-AM005-F0046')"
Hermann Schiewe,"Source(identifier='F0047', signature='F01-JM002-AM005-F0047')"
Hermann Schiewe,"Source(identifier='F0048', signature='F01-JM002-AM005-F0048')"
Hermann Schiewe,"Source(identifier='F0049', signature='F01-JM002-AM005-F0049')"
Hermann Schiewe,"Source(identifier='F0050', signature='F01-JM002-AM005-F0050')"
Hermann Schiewe,"Source(identifier='F0051', signature='F01-JM002-AM007-F0051')"
Hermann Schiewe,"Source(identifier='F0052', signature='F01-JM002-AM007-F0052')"
Hermann Schiewe,"Source(identifier='F0053', signature='F01-JM002-AM007-F0053')"
Hermann Schiewe,"Source(identifier='F0054', signature='F01-JM002-AM007-F0054')"
Hermann Schiewe,"Source(identifier='F0055', signature='F01-JM002-AM007-F0055')"
Hermann Schiewe,"Source(identifier='F0110', signature='F06-JM005-AM001-F0110')"
Hermann Schiewe,"Source(identifier='F0111', signature='F06-JM005-AM001-F0111')"
Pius Rast,"Source(identifier='F0112', signature='F06-JM005-AM001-F0112')"
singhalesischer Fotograf,"Source(identifier='F0141', signature='F07-JM003-AM001-F0141')"
singhalesischer Fotograf,"Source(identifier='F0142', signature='F07-JM003-AM001-F0142')"
singhalesischer Fotograf,"Source(identifier='F0143', signature='F07-JM003-AM002-F0143')"
Detlef Kantowsky,"Source(identifier='F0158', signature='F02-JM001-AM004-F0158')"
Detlef Kantowsky,"Source(identifier='F0159', signature='F02-JM001-AM004-F0159')"
Detlef Kantowsky,"Source(identifier='F0167', signature='F02-JM001-AM007-F0167')"
Detlef Kantowsky,"Source(identifier='F0168', signature='F02-JM001-AM007-F0168')"
Martin Onken,"Source(identifier='F0169', signature='F02-JM001-AM007-F0169')"
Martin Onken,"Source(identifier='F0170', signature='F02-JM001-AM007-F0170')"
Martin Onken,"Source(identifier='F0171', signature='F02-JM001-AM007-F0171')"
Detlef Kantowsky,"Source(identifier='F0172', signature='F02-JM001-AM007-F0172')"
Martin Onken,"Source(identifier='F0248', signature='F02-JM001-AM008-F0248')"
test creator,"Source(identifier='test identifier', signature='test source')"
