LocationShown,source_identifier
Hondo,"Source(identifier='F0002', signature='F01-JM002-AM001-F0002')"
Berlin-Frohnau,"Source(identifier='F0002', signature='F01-JM002-AM001-F0002')"
"Berlin Frohnau, Das Buddhistische Haus","Source(identifier='F0006', signature='F01-JM002-AM001-F0006')"
"Berlin Frohnau, Das Buddhistische Haus","Source(identifier='F0007', signature='F01-JM002-AM001-F0007')"
"Berlin Frohnau, Das Buddhistische Haus","Source(identifier='F0009', signature='F01-JM002-AM003-F0009')"
"Berlin Frohnau, Das Buddhistische Haus","Source(identifier='F0010', signature='F01-JM002-AM003-F0010')"
"Berlin Frohnau, Das Buddhistische Haus","Source(identifier='F0011', signature='F01-JM002-AM003-F0011')"
"Berlin Frohnau, Das Buddhistische Haus","Source(identifier='F0012', signature='F01-JM002-AM003-F0012')"
"Berlin Frohnau, Das Buddhistische Haus","Source(identifier='F0014', signature='F01-JM002-AM003-F0014')"
"Berlin Frohnau, Das Buddhistische Haus","Source(identifier='F0015', signature='F01-JM002-AM003-F0015')"
Berlin,"Source(identifier='F0017', signature='F01-JM002-AM003-F0017')"
Berlin,"Source(identifier='F0018', signature='F01-JM002-AM003-F0018')"
Berlin Pax Pagoda,"Source(identifier='F0019', signature='F01-JM002-AM003-F0019')"
"Meditationsklause, Utting am Ammersee","Source(identifier='F0020', signature='F01-JM002-AM003-F0020')"
"Meditationsklause, Utting am Ammersee","Source(identifier='F0021', signature='F01-JM002-AM003-F0021')"
"Utting am Ammersee/Obb, Stadtteil Ludwigshöhe","Source(identifier='F0022', signature='F01-JM002-AM003-F0022')"
"Utting am Ammersee/Obb, Stadtteil Ludwigshöhe","Source(identifier='F0024', signature='F01-JM002-AM003-F0024')"
"Utting am Ammersee/Obb, Stadtteil Ludwigshöhe","Source(identifier='F0025', signature='F01-JM002-AM003-F0025')"
"Haus der Stille, Roseburg (Schleswig-Holstein)","Source(identifier='F0026', signature='F01-JM002-AM005-F0026')"
"Haus der Stille, Roseburg (Schleswig-Holstein)","Source(identifier='F0027', signature='F01-JM002-AM005-F0027')"
"Haus der Stille, Roseburg (Schleswig-Holstein)","Source(identifier='F0028', signature='F01-JM002-AM005-F0028')"
"Haus der Stille, Roseburg (Schleswig-Holstein)","Source(identifier='F0029', signature='F01-JM002-AM005-F0029')"
"Haus der Stille, Roseburg (Schleswig-Holstein)","Source(identifier='F0031', signature='F01-JM002-AM005-F0031')"
"Haus der Stille, Roseburg (Schleswig-Holstein)","Source(identifier='F0032', signature='F01-JM002-AM005-F0032')"
"1. Meditationsklause, Haus der Stille in Roseburg","Source(identifier='F0033', signature='F01-JM002-AM005-F0033')"
"1. Meditationsklause, Haus der Stille in Roseburg","Source(identifier='F0034', signature='F01-JM002-AM005-F0034')"
"Haus der Stille, Roseburg (Schleswig-Holstein)","Source(identifier='F0035', signature='F01-JM002-AM005-F0035')"
"Haus der Stille, Roseburg (Schleswig-Holstein)","Source(identifier='F0036', signature='F01-JM002-AM005-F0036')"
schleswig-holsteinischen See,"Source(identifier='F0037', signature='F01-JM002-AM005-F0037')"
schleswig-holsteinischen See,"Source(identifier='F0038', signature='F01-JM002-AM005-F0038')"
HAUS RISSEN,"Source(identifier='F0039', signature='F01-JM002-AM005-F0039')"
SPEISESAAL VOM HAUS RISSEN,"Source(identifier='F0040', signature='F01-JM002-AM005-F0040')"
"Hamburg-Rissen, ""Haus Rissen""","Source(identifier='F0041', signature='F01-JM002-AM005-F0041')"
"Hamburg-Rissen, ""Haus Rissen""","Source(identifier='F0042', signature='F01-JM002-AM005-F0042')"
"Hamburg-Rissen, ""Haus Rissen""","Source(identifier='F0043', signature='F01-JM002-AM005-F0043')"
"Hamburg-Rissen, ""Haus Rissen""","Source(identifier='F0044', signature='F01-JM002-AM005-F0044')"
"Hamburg-Rissen, ""Haus Rissen""","Source(identifier='F0045', signature='F01-JM002-AM005-F0045')"
"Hamburg-Rissen, ""Haus Rissen""","Source(identifier='F0046', signature='F01-JM002-AM005-F0046')"
"Hamburg-Rissen, ""Haus Rissen""","Source(identifier='F0047', signature='F01-JM002-AM005-F0047')"
"Hamburg-Rissen, ""Haus Rissen""","Source(identifier='F0048', signature='F01-JM002-AM005-F0048')"
"Hamburg-Rissen, ""Haus Rissen""","Source(identifier='F0049', signature='F01-JM002-AM005-F0049')"
"Hamburg-Rissen, ""Haus Rissen""","Source(identifier='F0050', signature='F01-JM002-AM005-F0050')"
Hustedt (Lüneb. Heide),"Source(identifier='F0051', signature='F01-JM002-AM007-F0051')"
Hustedt (Lüneb. Heide),"Source(identifier='F0052', signature='F01-JM002-AM007-F0052')"
Hustedt (Lüneb. Heide),"Source(identifier='F0053', signature='F01-JM002-AM007-F0053')"
Hustedt (Lüneb. Heide),"Source(identifier='F0054', signature='F01-JM002-AM007-F0054')"
Hustedt (Lüneb. Heide),"Source(identifier='F0055', signature='F01-JM002-AM007-F0055')"
in one of the caves of the rock-temple of Dambulla in Sri Lanka,"Source(identifier='F0110', signature='F06-JM005-AM001-F0110')"
"Polonnaruwa, Sri Lanka","Source(identifier='F0111', signature='F06-JM005-AM001-F0111')"
Kambodscha,"Source(identifier='F0112', signature='F06-JM005-AM001-F0112')"
