inscribed_date,source_identifier
1859,"Source(identifier='F0001', signature='F01-JM001-AM002-F0001')"
1252 ; 1972,"Source(identifier='F0002', signature='F01-JM002-AM001-F0002')"
Mai 1979,"Source(identifier='F0010', signature='F01-JM002-AM003-F0010')"
27/03/1983,"Source(identifier='F0013', signature='F01-JM002-AM003-F0013')"
1957,"Source(identifier='F0017', signature='F01-JM002-AM003-F0017')"
1957,"Source(identifier='F0018', signature='F01-JM002-AM003-F0018')"
04/10/1983,"Source(identifier='F0019', signature='F01-JM002-AM003-F0019')"
22.08.1949,"Source(identifier='F0024', signature='F01-JM002-AM003-F0024')"
Mai 1963,"Source(identifier='F0031', signature='F01-JM002-AM005-F0031')"
Mai 1963,"Source(identifier='F0032', signature='F01-JM002-AM005-F0032')"
Mai 1963,"Source(identifier='F0033', signature='F01-JM002-AM005-F0033')"
Mai 1963,"Source(identifier='F0034', signature='F01-JM002-AM005-F0034')"
Juli 1964,"Source(identifier='F0035', signature='F01-JM002-AM005-F0035')"
Mai 1963,"Source(identifier='F0036', signature='F01-JM002-AM005-F0036')"
Mai 1963,"Source(identifier='F0037', signature='F01-JM002-AM005-F0037')"
Mai 1963,"Source(identifier='F0038', signature='F01-JM002-AM005-F0038')"
15. bis 21. Oktober 1961,"Source(identifier='F0039', signature='F01-JM002-AM005-F0039')"
15. bis 21. Oktober 1961,"Source(identifier='F0040', signature='F01-JM002-AM005-F0040')"
15. bis 21. Oktober 1961,"Source(identifier='F0041', signature='F01-JM002-AM005-F0041')"
15. bis 21. Oktober 1961,"Source(identifier='F0042', signature='F01-JM002-AM005-F0042')"
15. bis 21. Oktober 1961,"Source(identifier='F0043', signature='F01-JM002-AM005-F0043')"
15. bis 21. Oktober 1961,"Source(identifier='F0044', signature='F01-JM002-AM005-F0044')"
15. bis 21. Oktober 1961,"Source(identifier='F0045', signature='F01-JM002-AM005-F0045')"
15. bis 21. Oktober 1961,"Source(identifier='F0046', signature='F01-JM002-AM005-F0046')"
15. bis 21. Oktober 1961,"Source(identifier='F0047', signature='F01-JM002-AM005-F0047')"
15. bis 21. Oktober 1961,"Source(identifier='F0048', signature='F01-JM002-AM005-F0048')"
15. bis 21. Oktober 1961,"Source(identifier='F0049', signature='F01-JM002-AM005-F0049')"
15. bis 21. Oktober 1961,"Source(identifier='F0050', signature='F01-JM002-AM005-F0050')"
21.7. bis 4.8.1962,"Source(identifier='F0051', signature='F01-JM002-AM007-F0051')"
21.7. bis 4.8.1962,"Source(identifier='F0052', signature='F01-JM002-AM007-F0052')"
21.7. bis 4.8.1962,"Source(identifier='F0053', signature='F01-JM002-AM007-F0053')"
21.7. bis 4.8.1962,"Source(identifier='F0054', signature='F01-JM002-AM007-F0054')"
21.7. bis 4.8.1962,"Source(identifier='F0055', signature='F01-JM002-AM007-F0055')"
24th July 1980,"Source(identifier='F0110', signature='F06-JM005-AM001-F0110')"
25th July 1980,"Source(identifier='F0111', signature='F06-JM005-AM001-F0111')"
1956,"Source(identifier='F0112', signature='F06-JM005-AM001-F0112')"
19. Februar 1937 oder 1938,"Source(identifier='F0123', signature='F07-JM002-AM002-F0123')"
19. Februar 1937 oder 1938,"Source(identifier='F0124', signature='F07-JM002-AM002-F0124')"
19. Februar 1937 oder 1938,"Source(identifier='F0125', signature='F07-JM002-AM002-F0125')"
19. Februar 1937 oder 1938,"Source(identifier='F0126', signature='F07-JM002-AM002-F0126')"
19.2.38,"Source(identifier='F0130', signature='F07-JM002-AM002-F0130')"
July 1991,"Source(identifier='F0131', signature='F07-JM002-AM002-F0131')"
July 1991,"Source(identifier='F0132', signature='F07-JM002-AM002-F0132')"
July 1991,"Source(identifier='F0134', signature='F07-JM003-AM001-F0134')"
1982,"Source(identifier='F0135', signature='F07-JM003-AM001-F0135')"
May 1989,"Source(identifier='F0136', signature='F07-JM003-AM001-F0136')"
May 1989,"Source(identifier='F0137', signature='F07-JM003-AM001-F0137')"
1982,"Source(identifier='F0139', signature='F07-JM003-AM001-F0139')"
1982,"Source(identifier='F0140', signature='F07-JM003-AM001-F0140')"
10.2.1991,"Source(identifier='F0141', signature='F07-JM003-AM001-F0141')"
10.2.1991,"Source(identifier='F0142', signature='F07-JM003-AM001-F0142')"
10.2.1991,"Source(identifier='F0143', signature='F07-JM003-AM002-F0143')"
1982,"Source(identifier='F0144', signature='F07-JM003-AM002-F0144')"
1982,"Source(identifier='F0145', signature='F07-JM003-AM002-F0145')"
May 1989; ,"Source(identifier='F0146', signature='F07-JM003-AM002-F0146')"
1936,"Source(identifier='F0147', signature='F07-JM003-AM002-F0147')"
1907,"Source(identifier='F0148', signature='F07-JM003-AM002-F0148')"
,"Source(identifier='F0149', signature='F02-JM001-AM001-F0149')"
1937/38,"Source(identifier='F0158', signature='F02-JM001-AM004-F0158')"
5.Aug.1980,"Source(identifier='F0160', signature='F02-JM001-AM004-F0160')"
5.Aug.1980,"Source(identifier='F0161', signature='F02-JM001-AM004-F0161')"
5. Aug. 1980,"Source(identifier='F0162', signature='F02-JM001-AM004-F0162')"
