person_id,inscribed_name_1,source_identifier_1,inscribed_name_2,source_identifier_2,inscribed_name_3,source_identifier_3,inscribed_name_4,source_identifier_4
P0001,Arthur Schopenhauer,F0001
P0002,Bronze Buddha,F0002
P0003,Ven. Udogampola Wijayasoma (Maha Thero),F0003
P0004,Ven. Mahasi Sayadaw (U Sobhana Maha Thera),F0008
P0005,Dr Paul Dahlke,F0009
P0006,Paul Dahlke,F0010
P0007,Martin Steinke (Tao Chün),F0011
P0008,Dr Kurt Schmidt,F0012
P0009,Nyanaponika (Mahathera),F0014
P0010,Nyanatiloka (Mahathera),F0015
P0011,"Paul Dahlke, Hikkaduwe Sumangala",F0016
P0012,H-Ulrich Rieker,F0017
P0013,A. Weeraratna,F0017
P0014,H-Ulrich Rieker,F0018
P0015,Peter J. Meyer,F0019
P0016,Gnanawimala Mahathera,F0019
P0017,Max Hoppe,F0024
P0018,Eberhard Kuhnhenn,F0030
P0019,Bhikkhu Dhammiko (Manuel Kulbarz),F0035
P0020,Frau Pieturowski,F0036
P0021,Bhikkhu Dhammiko,F0036
P0022,NN,F0036
P0023,NN,F0036
P0024,NN,F0036
P0025,Ursel Anders,F0036
P0026,Elisabeth Heidt,F0036
P0027,Bhikkhu Dhammiko,F0037
P0028,Bhikkhu Dhammiko,F0038
P0029,RUDOLF ORTMANN,F0041
P0030,MAX GLASHOFF,F0041
P0031,WILHELM STEGEMANN,F0041
P0032,Dr. KURT SCHMIDT,F0042
P0033,Dr. KURT SCHMIDT,F0043
P0034,Dr. KURT SCHMIDT,F0044
P0035,WILHELM STEGEMANN,F0044
P0036,Dr. KURT SCHMIDT,F0045
P0037,FELIX KNOBELOCH,F0045
P0038,Dr. KURT SCHMIDT,F0046
P0039,FELIX KNOBELOCH,F0046
P0040,LEONORE KÖHN,F0046
P0041,Dr. KURT SCHMIDT,F0047
P0042,GRÄFIN DOROTHEA MATUSCHKA,F0048
P0043,FRIEDRICH GRÄBNER: FRAU MAIRHOFER,F0049
P0044,LEONORE KÖHN,F0050
P0045,MAX GLASHOFF,F0050
P0046,KARIN STEGEMANN,F0050
P0047,PAUL DEBES,F0051
P0048,PAUL DEBES,F0052
P0049,PAUL DEBES,F0053
P0050,PAUL DEBES,F0054
P0051,IRMA LÜBCKE,F0054
P0052,PAUL DEBES,F0055
P0053,Bartholomäus Bauer,F0113,Bartel Bauer,F0113,Kondañño,F0113
P0054,Franz Josef Bauer,F0114,Novize und Mönch unter dem Namen Vimalo,F0114
P0055,Victor Stomps aus Finnentrop,F0115,Mahânâmo,F0115
P0056,Ludwig Stolz aus Elberfeld,F0116,Vappo,F0116
P0057,Ludwig Ankenbrand aus Nürnberg,F0117
P0058,Friedrich Zimmermann,F0118,Subhadra Bhikshu,F0118
P0059,Dr. HANS MUCH,F0119
P0060,Max HOPPE,F0120,Anagārika Dhammapāla,F0120
P0061,Dr. KARL SEIDENSTÜCKER,F0121,Girimananda,F0121
P0062,Dr. KARL SEIDENSTÜCKER,F0122,Girimananda,F0122
P0063,NYĀNAPONIKA,F0123,Siegmund Feniger,F0123
P0064,NYĀNATILOKA,F0124,Anton W. F. Gueth,F0124
P0065,NYĀNAMALITO,F0125,Malte Schoenfeldt,F0125
P0066,NYĀNATILOKA,F0126,Anton W. F. Gueth (mitte),F0126
P0067,NYĀNAMALITO,F0126,Malte Schoenfeldt (links),F0126
P0068,NYĀNAPONIKA,F0126,Siegmund Feniger (rechts),F0126
P0069,MAYA KELLER-GRIMM,F0127
P0070,KARL EUGEN NEUMANN,F0128
P0071,Dr. HANS MUCH,F0129
P0072,NYĀNATILOKA,F0130,Anton W. F. Gueth,F0130
P0073,NYANASUMANA,F0131,Olivier MAILLEBUAU,F0131
P0074,SADDHANANDA,F0131,ANURUDDHA,F0131,K. HEMARATNE,F0131
P0075,DHAMMAJIVA,F0131,KIU AH WANG,F0131
P0076,VAPPA,F0131,Pieter PRINS,F0131
P0077,PIYARATANA,F0132,AK JAYATILLEKE,F0132
P0078,NYĀṆATISSA,F0132,NYANATISSA (!),F0132
P0079,DHAMMASANTA,F0132,Manfred FATH,F0132
P0080,NYĀṆASANTA,F0132,Dietfried REGULA,F0132
P0081,NYĀṆĀNANDA,F0132
P0082,NYĀṆASUMANA,F0132,Olivier MAILLEBUAU,F0132
P0083,Friedrich Zimmermann,F0133,Subhadra Bhikshu,F0133
P0084,PIYARATANA,F0134,AK JAYATILLEKE,F0134
P0085,NYĀṆATISSA,F0134,NYANATISSA (!),F0134
P0086,DHAMMASANTA,F0134,Manfred FATH,F0134
P0087,NYĀṆASANTA,F0134,Dietfried REGULA,F0134
P0088,NYĀṆĀNANDA,F0134
P0089,NYĀṆASUMANA,F0134,Olivier MAILLEBUAU,F0134
P0090,SADDHANANDA,F0134,ANURUDDHA,F0134,K. HEMARATNE,F0134
P0091,DHAMMAJIVA,F0134,KIU AH WANG,F0134
P0092,VAPPA,F0134,Pieter PRINS,F0134
P0093,NYĀṆADHIRA Bhikkhu,F0135,Frederic HENRY,F0135
P0094,PIYARATANA,F0136,A.K. JAYATILLEKE,F0136
P0095,GNĀṆAJOTHI,F0136
P0096,AMATASIRI,F0136,Robert SCHUJMER,F0136
P0097,NYĀṆATISSA,F0136,NYANATISSA (!),F0136
P0098,NYĀṆASANTA,F0136,Dietfried REGULA,F0136
P0099,NYĀṆASUMANA,F0136,Olivier MAILLEBUAU,F0136
P0100,PIYARATANA,F0137,A.K. JAYATILLEKE,F0137
P0101,GNĀṆAJOTHI,F0137
P0102,AMATASIRI,F0137,Robert SCHUJMER,F0137
P0103,NYĀṆATISSA,F0137,NYANATISSA (!),F0137
P0104,Bhikkhu ÑĀNAVIRA,F0138,Harold Eward Musson,F0138
P0105,PIYARATANA Mahāthera,F0139,A.K. Jayatilleke,F0139
P0106,With beard: HITESI Samanera,F0139,Wolfgang Haala,F0139
P0107,NYĀṆADHIRA,F0140,Frederic HENRY,F0140
P0108,NYĀṆASATTA,F0140,Martin NOVOSAD,F0140
P0109,HITESI,F0140,Wolfgang Haala,F0140
P0110,PIYARATANA,F0140,AK JAYATILLEKE,F0140
P0111,NYĀṆARAMITA,F0140,Peter JELITTO,F0140
P0112,NYĀṆAVIMALA,F0141,Friedrich Möller,F0141
P0113,NYĀṆAVIMALA,F0142,Friedrich Möller,F0142
P0114,NYĀṆAVIMALA,F0143,Friedrich Möller,F0143
P0115,NYĀṆARAMITTA Bhikkhu,F0144,Peter Jelitto,F0144
P0116,NYĀṆASATTA Mahāthera,F0145,Martin NOVOSAD,F0145
P0117,NYĀNASANTA,F0146,Dietfried REGULA,F0146
P0118,NYĀNASUMANA,F0146,Olivier MAILLEBUAU,F0146
P0119,NYĀNAPIYA,F0147,J.Pistor,F0147,VAJRABUDDHI,F0147
P0120,NYĀNALOKA,F0147,Ragasinghe,F0147
P0121,NYĀNATILOKA,F0147,Anton W. F. Gueth,F0147
P0122,NYĀNAPONIKA,F0147,Siegmund Feniger,F0147
P0123,NYĀNAVAMASA,F0147,?,F0147
P0124,NYĀNAVIMALA,F0147,?,F0147
P0125,NYĀNAKHEMETTO,F0147,Peter Schoenfeldt,F0147,SWAMI GAURIBALA,F0147
P0126,NYĀNASISI,F0147,Otto Krauskopf,F0147
P0127,Bhikku SĪLĀCĀRA,F0148,J. F. McKechnie,F0148
P0128,WALTER MARKGRAF,F0148,Sāmanero DhammānusārĪ,F0148
P0129,NYĀNATILOKA,F0148,Anton W. F. Gueth,F0148
P0130,Nyanapija,F0149
P0131,Nyanaloka,F0149
P0132,Nyanatiloka,F0149
P0133,Nyanaponika,F0149
P0134,Nyanaketho,F0149
P0135,Nyanasisi,F0149
P0136,NYĀNATILOKA,F0150,Anton W. F. Gueth,F0150
P0137,NYĀNADHARA,F0151,Conrad Nell aus Berlin,F0151
P0138,NYĀNATILOKA,F0152,Anton W. F. Gueth,F0152
P0139,Nyānapiya,F0153
P0140,Nyānatiloka,F0153
P0141,NYĀNATILOKA,F0154,Anton W. F. Gueth,F0154
P0142,NYĀNAPIYA,F0155,J. Pistor,F0155
P0143,NYĀNAPONIKA,F0156,Siegmund Feniger,F0156
P0144,Nyānaloka,F0156
P0145,Vappo,F0156
P0146,NYĀNATILOKA,F0156,Anton W. F. Gueth,F0156
P0147,NYĀNAPONIKA,F0157,Siegmund Feniger,F0157
P0148,Nyanatiloka,F0158
P0149,Nyanamalito,F0158
P0150,Nyanaponiko,F0158
P0151,NYĀNAPONIKA,F0160,Siegmund Feniger,F0160
P0152,NYĀNAPONIKA,F0161,Siegmund Feniger,F0161
P0153,NYĀNAPONIKA,F0162,Siegmund Feniger,F0162
P0154,Siegmund Feniger,F0164
P0155,Nyānaponika,F0165
P0156,Nyanaponika Mahathera,F0167
P0157,Kheminda Mahathera,F0168
P0158,Nyanaponika Mahathera,F0169
P0159,Nyanaponika Mahathera,F0170
P0160,Nyanaponika Mahathera,F0171
P0161,Nyanaponika Mahathera,F0248
P0162,Richard Abeyasekera,F0173
P0163,RICHARD ABEYASEKERA,F0174
P0164,VIMALO,F0176,Franz. Joseph Bauer,F0176
P0165,KONDAÑÑO,F0176,Bartel Bauer,F0176
P0166,VIMALO,F0178,Franz. Joseph Bauer,F0178
P0167,KONDAÑÑO,F0178,Bartel Bauer,F0178
P0168,VIMALO,F0179,Franz. Joseph Bauer,F0179
P0169,KONDAÑÑO,F0179,Bartel Bauer,F0179
P0170,VAPPO Thero,F0180,Ludwig Stolz,F0180
P0171,Georg,F0180
P0172,,F0180
P0173,VAPPO Thero,F0181,Ludwig Stolz,F0181
P0174,Georg,F0181
P0175,VAPPO Thero,F0182,Ludwig Stolz,F0182
P0176,VAPPO Thero,F0183,Ludwig Stolz,F0183
P0177,Mr. Okada,F0183
P0178,Inouye,F0183
P0179,Mr. Toukamoto,F0183
P0180,Unbekannt,F0184
P0181,BHIKKU ÑĀṆAMOLI,F0185,Osbert Moore,F0185
P0182,OSKAR SCHLOß,F0194
P0183,Wladyslaw Misiewicz,F0195
P0184,Mia edzino,F0198
P0185,kaj min filo,F0198
P0186,Kamil Sedláček,F0199
P0187,Aldrich Novosad,F0200
P0188,Pavel Košík,F0203
P0189,Shanti Bhadra,F0208
P0190,Kheminda Thera,F0209
P0191,Soma Thera,F0209
P0192,Bhikku Vinita,F0209
P0193,Venerable Madihe Paññasiha Maha Nayaka Thera of Vajirārāma,F0215
P0194,Venerable Sobhita,F0216
P0195,Prof. SEO Kyung BO,F0228,徐京保,F0228
P0196,Prof. SEO Kyung BO,F0229,徐京保,F0229
P0197,Prof. SEO Kyung BO,F0230,徐京保,F0230
P0198,Taungpulu-tawya Kabā-Aye Sayadaw,F0232
P0199,Maungg Maungg Hwin,F0237
P0200,U Kyaw Hla,F0237
P0201,Lama Anagarika Govina,F0237,Ernst Lothar Hoffmann,F0237
P0202,Nyānatiloka,F0237,Anton W.F. Gueth,F0237
P0203,Adinavaysa Thera,F0237
P0204,Nyānaloka,F0238,"Rajasinghe, Singh",F0238
P0205,Nyānatiloka,F0238,Anton W. F. Gueth,F0238
P0206,Nyānasumedha,F0238
P0207,Nyānaponika,F0238,Siegmund Feniger,F0238
P0208,Nyānatiloka,F0239,Anton W. F. Gueth,F0239
P0209,ANURUDDHA,F0240,K. HEMARATNE,F0240
P0210,NYĀṆĀLOKA,F0240,Thierry VALLOI,F0240
P0211,MAL DHAMMAJIVA,F0240,KIU AH WANG,F0240
P0212,VAPPA,F0240,Pieter PRINS,F0240
P0213,DHAMMASANTA,F0240,Manfred FATH,F0240
P0214,NYĀṆASANTA,F0240,Dietfried REGULA,F0240
P0215,PIYARATANA,F0240,A.K. JAYATILLEKE,F0240
P0216,DHAMMARATANA,F0240,Thomas Schreiber,F0240
P0217,NYĀṆASUMANA,F0240,Olivier MAILLEBUAU,F0240
P0218,NYĀNAPONIKA,F0241,Siegmund Feniger,F0241
P0219,VAPPO,F0241,Ludwig Stolz,F0241
P0220,Nyānakhetto,F0241,Peter Schoenfeldt,F0241,Swami Gauribala,F0241,NYANAKHETTO,F0241
P0221,NYANAPIYA,F0241,Julius Pistor,F0241
P0222,NYANAMALITO,F0241,Malte Schoenfeldt,F0241
P0223,Dr. Wolfgang Schumacher,F0242
P0224,Dr. Wolfgang Schumacher,F0243
P0225,Dr. med. Wolfgang Schumacher,F0244
P0226,Ilse,F0244
P0227,Dr. Wolf gang Schumacher,F0245
P0228,Ludwig STOLZ,F0246,VAPPO,F0246
P0229,test person shown's inscribed name,test identifier
